country_name,precip_trend_mm_per_year
Egypt,324.2054911436129
Libya,98.1563559296799
Sudan,71.28378609822082
Mongolia,35.37635651191476
Niger,33.91591194200105
Chad,29.81028006287069
United Arab Emirates,27.439976486643538
Oman,24.938004687864034
China,16.501885707652416
Saudi Arabia,12.616269277791359
Afghanistan,11.570250811641245
Burkina Faso,9.62204532901052
Pakistan,5.683936453959056
Jordan,5.500990643930795
Yemen,5.221307288709512
Eritrea,4.567800264772057
Tanzania,3.881347837974266
North Korea,3.3071742009256706
Somaliland,3.2602879467409607
Liberia,2.4565649025033425
Central African Rep.,2.393296024740983
Ethiopia,2.2616532162010756
India,2.2083558238765164
Guinea,2.133750114106313
Chile,2.0622139379962507
Solomon Is.,1.8527751427634147
Senegal,1.6931962131102327
Côte d'Ivoire,1.6860723526423236
Suriname,1.5975506888438036
Ireland,1.1480837169539146
Bulgaria,-0.22022767312837965
Japan,-0.2205768760836792
Sierra Leone,-0.5138892536509176
Vietnam,-0.5490922501614054
Kenya,-0.6158389020106185
Benin,-0.8887134938860533
Norway,-1.1695191269987717
Romania,-1.2281019413334928
Paraguay,-1.3909054720849308
Philippines,-1.3990210510997487
Congo,-1.4041237229757846
Indonesia,-1.4532585967438107
Fiji,-1.520039719377174
Croatia,-1.621692153322125
United Kingdom,-1.6402935109404437
Moldova,-1.6436628046527118
Sri Lanka,-1.7058059505337841
Mexico,-1.7086003525511357
Malaysia,-1.7474429366747686
United States of America,-1.7691262918970192
Guyana,-1.8154590377690079
Iran,-1.9137013575409598
Honduras,-1.9555295425689547
Dominican Rep.,-1.9635438473240348
Nicaragua,-2.2123761185055946
Papua New Guinea,-2.31445843092449
Hungary,-2.463807671287064
Belarus,-2.9408411613348804
Cameroon,-2.9562073118624634
Venezuela,-2.981182887818042
Italy,-3.017718959848275
Cambodia,-3.0403245778961847
Finland,-3.143811462130567
Botswana,-3.1592481569033852
Mali,-3.1790513454790252
Portugal,-3.217229303690933
Panama,-3.342133690717605
Colombia,-3.4465797782552112
Iraq,-3.4494718349303835
Greece,-3.4576529165419765
Cuba,-3.457876496509968
Slovakia,-3.549059482503111
Laos,-3.5972529622667384
Myanmar,-3.629294686017945
Serbia,-3.6447417421540154
Uruguay,-3.656486578024893
Bangladesh,-3.745213325981337
S. Sudan,-3.747001222289871
Thailand,-3.8739598989814414
Australia,-4.323722706845951
South Korea,-4.406366192646024
Mozambique,-4.497718472058212
Nigeria,-4.613058121648266
Poland,-4.685279589234227
Brazil,-4.721208636180275
Dem. Rep. Congo,-4.775993041877415
New Zealand,-4.811021616920337
Costa Rica,-4.826955552273435
Ecuador,-4.986480925506201
Russia,-5.096927317323115
Bosnia and Herz.,-5.187854364795343
Gabon,-5.224070620573482
Somalia,-5.572993988806149
Guatemala,-5.6029001739086475
Zimbabwe,-5.721633510748342
Spain,-5.805028416543355
Bolivia,-5.901639000995229
Kazakhstan,-6.200215400658526
Austria,-6.31265681512838
Madagascar,-6.377745098976527
Denmark,-6.446596820931325
Iceland,-6.458264063656994
Switzerland,-6.560345690408399
Togo,-6.7891897871900415
Tajikistan,-6.852158234952215
Argentina,-7.175390130386776
Angola,-7.228829264841013
Nepal,-7.232562290923096
France,-7.413785290294559
Uganda,-7.653150042419103
Turkey,-7.672502499949217
Lithuania,-8.031621762389472
Zambia,-8.037385448210587
Ukraine,-8.149129953890267
Peru,-8.25617193154431
Malawi,-8.491660110990969
Ghana,-9.594911005801386
Sweden,-9.71558716285101
Turkmenistan,-10.026222594292399
Azerbaijan,-10.154127757736827
Mauritania,-10.17780225748321
Latvia,-10.375834047861645
Czechia,-11.144231359786888
Morocco,-11.298242461837063
Estonia,-12.872893899176795
Tunisia,-12.971905730891466
Uzbekistan,-13.98340661911953
W. Sahara,-14.447753809426972
Germany,-14.461234531673387
Namibia,-15.277674698427854
Greenland,-15.55138738038993
Syria,-15.964258953986223
Netherlands,-16.640964010018543
South Africa,-17.004645114860885
Armenia,-18.145271363019834
Georgia,-18.963478089213414
Kyrgyzstan,-25.500089187303487
Algeria,-29.292720732808096
Canada,-36.42156773900251
