country_name,country_code,area_km2,precip_trend_mm_per_year,pixel_count
Egypt,EGY,1436886.313290605,324.2054911436129,1800
Libya,LBY,2646657.9814772205,98.1563559296799,2938
Sudan,SDN,2795024.2946912977,71.28378609822082,3112
Mongolia,MNG,4122900.9862858034,35.37635651191476,3611
Niger,NER,2271366.429366144,33.91591194200105,1993
Chad,TCD,2038110.952098079,29.81028006287069,2120
United Arab Emirates,ARE,211213.2201266208,27.439976486643538,142
Oman,OMN,937486.8238181156,24.938004687864034,533
China,CHN,26654035.157056373,16.501885707652416,18933
Saudi Arabia,SAU,4098189.2321487335,12.616269277791359,3379
Afghanistan,AFG,1652491.4342806267,11.570250811641245,1265
Burkina Faso,BFA,518749.95489089267,9.62204532901052,447
Pakistan,PAK,2809231.5066140783,5.683936453959056,1631
Jordan,JOR,220122.8545495709,5.500990643930795,170
Yemen,YEM,830081.6455604482,5.221307288709512,765
Eritrea,ERI,461530.9915180982,4.567800264772057,197
Tanzania,TZA,1456689.5521940899,3.881347837974266,1516
North Korea,PRK,426707.1958359494,3.3071742009256706,265
Somaliland,-99,272792.51773345657,3.2602879467409607,273
Liberia,LBR,201063.3502819032,2.4565649025033425,158
Central African Rep.,CAF,1412181.9432248247,2.393296024740983,1001
Ethiopia,ETH,2108858.083612534,2.2616532162010756,1852
India,IND,9912797.687741756,2.2083558238765164,5505
Guinea,GIN,474527.6055501158,2.133750114106313,388
Chile,CHL,4069458.3971194047,2.0622139379962507,1703
Solomon Is.,SLB,307658.79138586513,1.8527751427634147,40
Senegal,SEN,323641.222459377,1.6931962131102327,322
Côte d'Ivoire,CIV,460390.63945062173,1.6860723526423236,537
Suriname,SUR,211860.61039795636,1.5975506888438036,235
Ireland,IRL,168252.41835466528,1.1480837169539146,155
Bulgaria,BGR,228374.22713230317,-0.22022767312837965,243
Japan,JPN,2886886.5287862243,-0.2205768760836792,828
Sierra Leone,SLE,121200.01512567917,-0.5138892536509176,125
Vietnam,VNM,1302302.6198306014,-0.5490922501614054,571
Kenya,KEN,998866.7463236836,-0.6158389020106185,951
Benin,BEN,227093.35346064385,-0.8887134938860533,189
Norway,-99,7316684.070631556,-1.1695191269987717,1738
Romania,ROU,525289.6193446642,-1.2281019413334928,545
Paraguay,PRY,848466.773727492,-1.3909054720849308,701
Philippines,PHL,1490981.890898375,-1.3990210510997487,482
Congo,COG,794863.5367786706,-1.4041237229757846,546
Indonesia,IDN,8926883.633630948,-1.4532585967438107,2938
Fiji,FJI,10055893.560480002,-1.520039719377174,32
Croatia,HRV,284248.2786951602,-1.621692153322125,131
United Kingdom,GBR,989078.6101628246,-1.6402935109404437,676
Moldova,MDA,124982.93972293033,-1.6436628046527118,78
Sri Lanka,LKA,99420.5498298444,-1.7058059505337841,106
Mexico,MEX,6791353.754339015,-1.7086003525511357,3478
Malaysia,MYS,1448152.3732130646,-1.7474429366747686,546
United States of America,USA,67731790.81930141,-1.7691262918970192,22199
Guyana,GUY,426040.2399942199,-1.8154590377690079,341
Iran,IRN,3463382.6690598186,-1.9137013575409598,3083
Honduras,HND,230980.69704786947,-1.9555295425689547,190
Dominican Rep.,DOM,102177.64593440322,-1.9635438473240348,82
Nicaragua,NIC,238949.52254776176,-2.2123761185055946,210
Papua New Guinea,PNG,1508683.8055282026,-2.31445843092449,753
Hungary,HUN,229688.16680432184,-2.463807671287064,216
Belarus,BLR,567296.8050967844,-2.9408411613348804,554
Cameroon,CMR,1031951.3256830189,-2.9562073118624634,753
Venezuela,VEN,1909075.0394856704,-2.981182887818042,1483
Italy,ITA,1516889.7752919984,-3.017718959848275,692
Cambodia,KHM,265004.8531555609,-3.0403245778961847,301
Finland,FIN,1381921.5363956494,-3.143811462130567,1262
Botswana,BWA,1077109.2173153695,-3.1592481569033852,1023
Mali,MLI,3013865.7432959983,-3.1790513454790252,2085
Portugal,PRT,210378.73379561462,-3.217229303690933,192
Panama,PAN,168608.03975409654,-3.342133690717605,127
Colombia,COL,2498007.810886182,-3.4465797782552112,1855
Iraq,IRQ,998040.5079711776,-3.4494718349303835,835
