country_name,country_code,continent,pm25_trend_ug_m3_per_year
Iraq,IRQ,Asia,0.08701216065453346
Bangladesh,BGD,Asia,0.08270708048516155
India,IND,Asia,0.06789122430667559
Saudi Arabia,SAU,Asia,0.06281809968870232
Uganda,UGA,Africa,0.048367908780860565
Yemen,YEM,Asia,0.04549133744612019
Syria,SYR,Asia,0.04281867319466515
Congo,COG,Africa,0.0384433806272821
Nepal,NPL,Asia,0.03694944446597697
Pakistan,PAK,Asia,0.03547798662351599
Oman,OMN,Asia,0.03440525329518629
Gabon,GAB,Africa,0.03425217145694465
United Arab Emirates,ARE,Asia,0.031174501707932553
Dem. Rep. Congo,COD,Africa,0.029671784468754948
Afghanistan,AFG,Asia,0.02853510207215376
Cambodia,KHM,Asia,0.025608698804307165
Papua New Guinea,PNG,Oceania,0.024775337079097536
Iran,IRN,Asia,0.024547559702045977
Tanzania,TZA,Africa,0.023748301067623618
Jordan,JOR,Asia,0.022788463588328513
Ethiopia,ETH,Africa,0.02154621924000183
Zambia,ZMB,Africa,0.021413921076886534
Indonesia,IDN,Asia,0.02078904852964012
Angola,AGO,Africa,0.019968140967183055
Eritrea,ERI,Africa,0.019757360544128792
Sri Lanka,LKA,Asia,0.018712929203183213
Niger,NER,Africa,0.018426322875719294
S. Sudan,SSD,Africa,0.018250238748708927
Somaliland,-99,Africa,0.017982989632618306
Liberia,LBR,Africa,0.017960131416815076
Central African Rep.,CAF,Africa,0.017654916838955318
Kenya,KEN,Africa,0.017592471698790895
Turkey,TUR,Asia,0.017422411481599294
Malawi,MWI,Africa,0.016820145538017375
Egypt,EGY,Africa,0.01654504145890691
Colombia,COL,South America,0.01626770243177258
Peru,PER,South America,0.016258843082534637
Algeria,DZA,Africa,0.01624788521824685
Armenia,ARM,Asia,0.016213074541921526
Kyrgyzstan,KGZ,Asia,0.015537766672119969
Sudan,SDN,Africa,0.015370689066145022
Tajikistan,TJK,Asia,0.014615720557714602
Solomon Is.,SLB,Oceania,0.01431391192274992
Honduras,HND,North America,0.014082299730705898
Nigeria,NGA,Africa,0.01260685351299234
Venezuela,VEN,South America,0.012024352078053338
Vietnam,VNM,Asia,0.011932546684976598
Ecuador,ECU,South America,0.011800117600340214
Myanmar,MMR,Asia,0.011133162154601257
Thailand,THA,Asia,0.010243958345586382
Côte d'Ivoire,CIV,Africa,0.009980595284003458
Panama,PAN,North America,0.009857091364039205
Malaysia,MYS,Asia,0.009845552505677653
Chile,CHL,South America,0.009743926631782963
Guyana,GUY,South America,0.009573679161639256
South Africa,ZAF,Africa,0.009357162991207915
Namibia,NAM,Africa,0.00913407365537367
Sierra Leone,SLE,Africa,0.00867460709930941
Brazil,BRA,South America,0.008614964782301986
Togo,TGO,Africa,0.008364995711169868
Bolivia,BOL,South America,0.008320806238409903
Costa Rica,CRI,North America,0.007963442381012445
Cameroon,CMR,Africa,0.00773215315938147
Zimbabwe,ZWE,Africa,0.007273502090736883
Madagascar,MDG,Africa,0.00719561185827375
Chad,TCD,Africa,0.00643867196146628
Somalia,SOM,Africa,0.006350661226803072
Uzbekistan,UZB,Asia,0.006068211074791774
New Zealand,NZL,Oceania,0.005365796332378196
Suriname,SUR,South America,0.005177374968213879
Russia,RUS,Europe,0.005161965026264348
Philippines,PHL,Asia,0.005074567363489764
Benin,BEN,Africa,0.005070669110193229
W. Sahara,ESH,Africa,0.004831683047214677
Mali,MLI,Africa,0.004710383372885325
Laos,LAO,Asia,0.004670772691395414
Greenland,GRL,North America,0.004570540152863048
Norway,-99,Europe,0.0044558204176797615
