country_name,country_code,continent,area_km2,pm25_trend_ug_m3_per_year,pm25_trend_std,pm25_trend_median,pm25_trend_min,pm25_trend_max,pixel_count,pct_increasing,pct_decreasing
Iraq,IRQ,Asia,998041.0,0.08701216065453346,0.04588782408780529,0.07529614986551057,0.017225071725774123,0.24804672520056167,835,100.0,0.0
Bangladesh,BGD,Asia,326511.0,0.08270708048516155,0.042581789451510144,0.09072108675778263,-0.020074354268550997,0.15131491122491497,239,97.1,2.9
India,IND,Asia,9912798.0,0.06789122430667559,0.03222747070884892,0.07000402467141513,-0.01679923116131926,0.1901884777458637,5505,98.0,2.0
Saudi Arabia,SAU,Asia,4098189.0,0.06281809968870232,0.03934268716247645,0.054174016755569106,0.005135235931902477,0.290985713574937,3379,100.0,0.0
Uganda,UGA,Africa,382753.0,0.048367908780860565,0.02477289845529083,0.04588506348682497,0.005314874200323219,0.12253316082311184,398,100.0,0.0
Yemen,YEM,Asia,830082.0,0.04549133744612019,0.014784453340057704,0.04229308806690825,0.019063735264011526,0.101542956143829,765,100.0,0.0
Syria,SYR,Asia,402794.0,0.04281867319466515,0.024696189549111767,0.041289940021502984,0.0015422966927430405,0.11729552773874428,361,100.0,0.0
Congo,COG,Africa,794864.0,0.0384433806272821,0.00880518760750867,0.04045798738236513,0.005402159358025773,0.05388207832900838,546,100.0,0.0
Nepal,NPL,Asia,401002.0,0.03694944446597697,0.017329113708230405,0.03351589409323057,-0.005649548979340625,0.10287773176411442,272,99.6,0.4
Pakistan,PAK,Asia,2809232.0,0.03547798662351599,0.0335930920730187,0.029657279287717928,-0.050529222256947184,0.14870136858490676,1631,86.7,13.3
Oman,OMN,Asia,937487.0,0.03440525329518629,0.0168369147593369,0.033313382737590574,-0.03042907174663409,0.1014777753592466,533,97.2,2.8
Gabon,GAB,Africa,437204.0,0.03425217145694465,0.007843688824878332,0.035407214450893065,0.007729972793953857,0.05015797364536074,440,100.0,0.0
United Arab Emirates,ARE,Asia,211213.0,0.031174501707932553,0.018274677421565143,0.03193461668531644,-0.0194738318145401,0.10108713911399562,142,95.1,4.9
Dem. Rep. Congo,COD,Africa,4332081.0,0.029671784468754948,0.009256573782575878,0.02991495554473264,-8.952744513710945e-05,0.06791192177037693,3755,100.0,0.0
Afghanistan,AFG,Asia,1652491.0,0.02853510207215376,0.03252581778964668,0.017601772731286696,-0.004579419946617212,0.18904220753145515,1265,97.9,2.1
Cambodia,KHM,Asia,265005.0,0.025608698804307165,0.008734241843645806,0.025546270900276797,-0.0007043948200526967,0.04582582172993553,301,99.7,0.3
Papua New Guinea,PNG,Oceania,1508684.0,0.024775337079097536,0.0068580335960796,0.02473287718303533,0.007085138297041653,0.03973943821242017,753,100.0,0.0
Iran,IRN,Asia,3463383.0,0.024547559702045977,0.023031086390727457,0.020119706519813037,-0.038678706150501216,0.15819875404241773,3083,94.2,5.8
Tanzania,TZA,Africa,1456690.0,0.023748301067623618,0.011841660567662556,0.022884087320528806,-0.002219416147706238,0.08720696539512879,1516,99.8,0.2
Jordan,JOR,Asia,220123.0,0.022788463588328513,0.012172252712675921,0.02213547414573322,-0.011464342084624345,0.060796290474523756,170,98.8,1.2
Ethiopia,ETH,Africa,2108858.0,0.02154621924000183,0.01702664301384503,0.01783957615441873,-0.0254210801126746,0.10601682297106681,1852,94.1,5.9
Zambia,ZMB,Africa,1389384.0,0.021413921076886534,0.008422388260814302,0.022170238623402182,-0.004114788570103836,0.05466796320716249,1239,99.3,0.7
Indonesia,IDN,Asia,8926884.0,0.02078904852964012,0.010027805666929138,0.02121841250354714,-0.024311693592330468,0.05943804893219958,2938,97.4,2.6
Angola,AGO,Africa,2068025.0,0.019968140967183055,0.008436943204107325,0.02173487876149955,-0.011154010572861176,0.043924792020225804,2057,99.2,0.8
Eritrea,ERI,Africa,461531.0,0.019757360544128792,0.009295630989907664,0.020181342057811583,-0.008260589544794831,0.060444701639991355,197,95.9,4.1
Sri Lanka,LKA,Asia,99421.0,0.018712929203183213,0.005888046326512049,0.01874582056734308,0.005298959281061183,0.030263039920251845,106,100.0,0.0
Niger,NER,Africa,2271366.0,0.018426322875719294,0.02670499421820337,0.012931433766048417,-0.06379731407084918,0.20688419985335524,1993,82.0,18.0
S. Sudan,SSD,Africa,1228639.0,0.018250238748708927,0.009261199181691063,0.01757536194227153,-0.005294316881256428,0.0697007834400436,1015,98.7,1.3
Somaliland,-99,Africa,272793.0,0.017982989632618306,0.008512566472740514,0.015716011709854604,0.003916780466463005,0.047097876851923265,273,100.0,0.0
Liberia,LBR,Africa,201063.0,0.017960131416815076,0.0037984321358916894,0.01765727570590863,0.008693807113309185,0.03103393839983913,158,100.0,0.0
Central African Rep.,CAF,Africa,1412182.0,0.017654916838955318,0.005844111519962803,0.017451960069649573,0.002438615881319821,0.040811198378975726,1001,100.0,0.0
Kenya,KEN,Africa,998867.0,0.017592471698790895,0.012816109614372921,0.015788746208361203,0.00040930411325546467,0.10325637454841415,951,100.0,0.0
Turkey,TUR,Asia,1460077.0,0.017422411481599294,0.012728755297810462,0.01728460800560421,-0.03991993076730279,0.09430956262007548,1652,93.5,6.5
Malawi,MWI,Africa,287647.0,0.016820145538017375,0.009333818936903757,0.01450561771347116,-0.002979110308276239,0.04493421361242584,185,99.5,0.5
Egypt,EGY,Africa,1436886.0,0.01654504145890691,0.017699445936219096,0.018261723493231095,-0.05282897247475703,0.09768209384259219,1800,86.4,13.6
Colombia,COL,South America,2498008.0,0.01626770243177258,0.008882366947944536,0.014927932658253039,-0.01012596130907674,0.04759707105878007,1855,98.6,1.4
